112,Julian Day,,Shot 1,,,,,,,,,,,,,,,,,,,,,,,,
1972,Year,,G1,G2,G3,,,,,,,,,,,,,,,,,,,,,,
2001,GMT hhmm,,,,,,,,,,,,,,,,,,,,order,shot-geophone,distance,time,,shot,time
,179.231275,,-3.80E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,181.11792,,-3.80E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,183.004565,,-2.10E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,184.89121,,-6.50E-03,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,186.777855,,2.10E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,188.6645,,3.80E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,190.551145,,6.80E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,192.43779,,6.80E-02,7.00E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,194.324435,,6.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,196.21108,,3.80E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,198.097725,,1.20E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,199.98437,,-2.10E-02,3.90E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,201.871015,,-3.80E-02,2.20E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,203.75766,,-6.80E-02,6.80E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,205.644305,,-6.80E-02,-4.00E-03,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,207.53095,,-6.80E-02,-2.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,209.417595,,-6.80E-02,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,211.30424,,-6.80E-02,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,213.190885,,-3.80E-02,-7.40E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,215.07753,,-6.50E-03,-7.40E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,216.964175,,2.10E-02,-7.40E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,218.85082,,3.80E-02,-7.40E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,220.737465,,6.80E-02,-7.40E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,222.62411,,6.80E-02,-7.40E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,224.510755,,6.80E-02,-7.40E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,226.3974,,6.80E-02,-7.40E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,228.284045,,6.80E-02,-7.40E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,230.17069,,6.80E-02,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,232.057335,,6.80E-02,-4.10E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,233.94398,,3.80E-02,-2.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
,235.830625,,6.50E-03,-2.30E-02,-2.10E+00,,,,,,,,,,,,,,,,,,,,,,
